title,release_date,vote_count,vote_average
Eye for an Eye,1996-01-12,65.0,5.8
Mr. Holland's Opus,1995-12-29,115.0,6.9
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,192.0,6.2
Two If by Sea,1996-01-12,14.0,4.5
Bio-Dome,1996-01-12,110.0,4.4
Lawnmower Man 2: Beyond Cyberspace,1996-01-12,32.0,2.8
Two Bits,1995-10-22,11.0,5.4
French Twist,1995-02-08,43.0,6.0
Friday,1995-04-26,513.0,7.0
From Dusk Till Dawn,1996-01-19,1644.0,6.9
Fair Game,1995-11-03,54.0,4.1
Kicking and Screaming,1995-10-06,36.0,7.0
Les Miserables,1995-03-22,8.0,6.6
Bed of Roses,1996-01-26,27.0,5.1
Big Bully,1996-01-26,16.0,3.9
Screamers,1995-09-08,154.0,6.1
Nico Icon,1995-02-18,3.0,7.3
The Crossing Guard,1995-11-15,74.0,6.1
The Juror,1996-02-02,91.0,5.5
The White Balloon,1995-01-01,20.0,7.5
Things to Do in Denver When You're Dead,1995-12-01,87.0,6.7
Antonia's Line,1995-09-12,26.0,7.2
Once Upon a Time... When We Were Colored,1996-01-26,2.0,4.5
Last Summer in the Hamptons,1995-11-22,0.0,0.0
Angels and Insects,1995-09-10,17.0,6.3
White Squall,1996-02-02,86.0,6.3
Dunston Checks In,1996-01-12,59.0,5.1
Black Sheep,1996-02-01,124.0,6.0
Nick of Time,1995-11-22,190.0,6.1
The Journey of August King,1995-09-14,3.0,6.7
Mary Reilly,1996-02-23,77.0,5.7
Vampire in Brooklyn,1995-10-26,113.0,4.5
Beautiful Girls,1996-02-09,103.0,6.6
Broken Arrow,1996-02-09,459.0,5.7
A Midwinter's Tale,1995-12-01,6.0,7.5
La Haine,1995-05-31,695.0,7.9
Shopping,1994-12-06,13.0,5.6
Heidi Fleiss: Hollywood Madam,1995-12-27,4.0,6.8
City Hall,1996-02-16,67.0,6.0
Bottle Rocket,1996-02-21,285.0,6.8
Mr. Wrong,1996-02-16,16.0,3.3
Unforgettable,1996-02-23,22.0,5.3
Happy Gilmore,1996-02-16,767.0,6.5
The Bridges of Madison County,1995-05-28,397.0,7.3
Nobody Loves Me,1994-11-07,5.0,5.1
Muppet Treasure Island,1996-02-16,93.0,6.5
Catwalk,1995-12-08,2.0,7.0
Headless Body in Topless Bar,1995-05-20,0.0,0.0
Braveheart,1995-05-24,3404.0,7.7
Taxi Driver,1976-02-07,2632.0,8.1
Rumble in the Bronx,1995-01-30,245.0,6.5
Before and After,1996-02-23,37.0,5.8
Margaret's Museum,1995-09-13,2.0,7.5
Happiness Is in the Field,1995-01-31,23.0,7.0
Anne Frank Remembered,1995-06-08,4.0,7.3
The Young Poisoner's Handbook,1995-01-20,19.0,6.9
If Lucy Fell,1996-03-08,11.0,5.4
Steal Big Steal Little,1995-09-29,7.0,5.1
Race the Sun,1996-03-22,21.0,5.2
The Boys of St. Vincent,1992-12-06,7.0,7.0
Boomerang,1992-06-30,139.0,5.4
Chungking Express,1994-07-14,249.0,7.9
The Star Maker,1995-09-21,29.0,6.8
Flirting with Disaster,1996-03-22,66.0,6.3
The Neverending Story III: Escape from Fantasia,1994-10-26,105.0,4.4
The Silences of the Palace,1994-09-30,3.0,4.3
Jupiter's Wife,1995-01-01,0.0,0.0
Pie in the Sky,1996-02-09,2.0,7.0
Angela,1995-01-01,9.0,5.6
Frankie Starlight,1995-11-22,4.0,5.4
Jade,1995-10-13,45.0,5.1
Nueba Yol,1995-08-16,1.0,5.5
Sonic Outlaws,1995-08-01,0.0,0.0
Down Periscope,1996-03-01,110.0,5.6
From the Journals of Jean Seberg,1995-09-08,2.0,6.5
Man of the Year,1995-09-15,2.0,3.8
The Neon Bible,1995-08-23,5.0,7.2
Target,1995-08-01,0.0,0.0
Up Close & Personal,1996-03-01,51.0,5.9
The Birdcage,1996-03-08,303.0,6.7
Virgin Mary,1995-10-12,2.0,7.0
The Brothers McMullen,1995-08-09,23.0,6.3
Bad Boys,1995-04-07,1729.0,6.5
The Amazing Panda Adventure,1995-08-25,31.0,5.0
The Basketball Diaries,1995-04-21,472.0,7.2
An Awfully Big Adventure,1995-07-21,11.0,6.0
Amateur,1994-08-05,21.0,6.5
Apollo 13,1995-06-30,1637.0,7.3
Rob Roy,1995-04-13,151.0,6.5
The Addiction,1995-01-10,46.0,6.4
Batman Forever,1995-06-16,1529.0,5.2
Belle de Jour,1967-05-24,163.0,7.3
Beyond Rangoon,1995-05-24,21.0,6.4
Blue in the Face,1995-09-15,28.0,6.8
Canadian Bacon,1995-06-08,57.0,5.9
Casper,1995-05-26,1045.0,6.0
Clockers,1995-09-15,69.0,6.8
Congo,1995-06-09,214.0,5.0
Crimson Tide,1995-05-12,508.0,7.0
Crumb,1994-09-10,71.0,7.6
Desperado,1995-08-25,898.0,6.8
Devil in a Blue Dress,1995-09-15,88.0,6.3
Die Hard: With a Vengeance,1995-05-19,2094.0,6.9
The Doom Generation,1995-10-27,57.0,5.6
Feast of July,1995-10-12,0.0,0.0
First Knight,1995-07-07,319.0,5.9
Free Willy 2 - The Adventure Home,1995-07-19,130.0,5.5
Hackers,1995-09-14,406.0,6.2
Jeffrey,1995-08-18,19.0,6.5
Johnny Mnemonic,1995-05-26,380.0,5.5
Judge Dredd,1995-06-30,643.0,5.4
Jury Duty,1995-04-12,34.0,4.0
Kids,1995-07-28,280.0,6.8
Living in Oblivion,1995-01-20,64.0,7.2
Lord of Illusions,1995-08-25,87.0,5.9
Love & Human Remains,1993-05-20,7.0,7.0
Mad Love,1995-05-26,27.0,5.5
Mallrats,1995-10-20,400.0,6.8
Mighty Morphin Power Rangers: The Movie,1995-06-30,153.0,5.2
Moonlight and Valentino,1995-09-29,10.0,5.6
Mute Witness,1995-09-28,36.0,6.4
Nadja,1994-09-13,12.0,5.9
The Net,1995-07-28,359.0,5.6
Nine Months,1995-07-12,171.0,5.5
Party Girl,1995-06-09,14.0,5.8
The Prophecy,1995-09-01,139.0,6.4
Reckless,1995-11-17,1.0,10.0
Safe,1995-06-23,62.0,7.2
The Scarlet Letter,1995-10-13,111.0,5.5
The Show,1995-08-25,2.0,5.3
Showgirls,1995-09-22,261.0,4.9
Smoke,1995-06-09,115.0,7.2
Something to Talk About,1995-08-04,60.0,5.7
Species,1995-07-07,457.0,5.5
The Stars Fell on Henrietta,1995-09-15,6.0,6.6
Strange Days,1995-10-13,334.0,6.8
The Umbrellas of Cherbourg,1964-02-19,119.0,7.6
The Tie That Binds,1995-09-08,9.0,4.6
Three Wishes,1995-10-27,18.0,6.1
Total Eclipse,1995-11-02,112.0,6.5
"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,117.0,6.3
Under Siege 2: Dark Territory,1995-07-13,217.0,5.6
Unstrung Heroes,1995-09-15,9.0,6.4
Unzipped,1995-08-11,6.0,6.0
A Walk in the Clouds,1995-08-11,168.0,6.5
Waterworld,1995-07-28,1017.0,5.9
White Man's Burden,1995-12-01,25.0,5.1
Wild Bill,1995-12-01,27.0,5.9
The Browning Version,1994-10-12,11.0,6.0
Bushwhacked,1995-08-04,29.0,4.9
Burnt by the Sun,1994-05-01,35.0,6.7
Before the Rain,1994-06-09,45.0,7.7
Before Sunrise,1995-01-27,984.0,7.7
Billy Madison,1995-02-10,464.0,6.2
The Babysitter,1995-10-17,27.0,4.7
Boys on the Side,1995-02-03,48.0,6.3
The Cure,1995-04-21,58.0,7.2
Castle Freak,1995-08-04,40.0,5.8
Circle of Friends,1995-03-16,30.0,6.5
Clerks,1994-09-13,769.0,7.4
Don Juan DeMarco,1994-10-01,184.0,6.3
Disclosure,1994-12-09,217.0,5.9
Dream Man,1995-01-01,1.0,2.5
Drop Zone,1994-12-08,91.0,5.1
Destiny Turns on the Radio,1995-04-28,9.0,5.3
Death and the Maiden,1994-05-04,92.0,7.1
Dolores Claiborne,1995-03-24,183.0,7.1
Dumb and Dumber,1994-12-16,1894.0,6.5
Eat Drink Man Woman,1994-08-03,76.0,7.5
Exotica,1994-09-24,64.0,6.5
Exit to Eden,1994-10-14,28.0,4.3
Ed Wood,1994-09-27,639.0,7.3
French Kiss,1995-05-05,179.0,6.2
Forget Paris,1995-05-19,38.0,6.1
Far from Home: The Adventures of Yellow Dog,1995-01-13,27.0,5.6
A Goofy Movie,1995-04-07,404.0,6.7
Hideaway,1995-03-03,24.0,5.0
Fluke,1995-06-02,48.0,6.6
Farinelli,1994-12-07,20.0,5.9
Gordy,1995-05-12,4.0,3.0
Gumby: The Movie,1995-12-01,2.0,5.0
The Glass Shield,1994-09-16,9.0,5.4
Hoop Dreams,1994-09-12,91.0,7.7
Heavenly Creatures,1994-09-02,299.0,6.9
Houseguest,1995-01-06,17.0,6.0
Immortal Beloved,1994-12-16,90.0,6.9
Heavyweights,1995-02-17,97.0,6.0
The Hunted,1995-02-24,25.0,6.0
I.Q.,1994-12-24,112.0,5.9
Interview with the Vampire,1994-11-11,1558.0,7.2
Jefferson in Paris,1995-03-31,10.0,5.2
The Jerky Boys,1995-02-03,10.0,4.8
Junior,1994-11-22,381.0,4.7
Just Cause,1995-02-17,124.0,6.0
A Kid in King Arthur's Court,1995-08-11,40.0,4.3
Kiss of Death,1995-04-21,83.0,5.7
Star Wars,1977-05-25,6778.0,8.1
Little Women,1994-12-21,222.0,7.0
A Little Princess,1995-05-10,207.0,7.4
Ladybird Ladybird,1994-02-18,14.0,7.4
L'Enfer,1994-02-16,22.0,6.6
Like Water for Chocolate,1992-04-16,70.0,6.6
Legends of the Fall,1994-12-16,636.0,7.2
Major Payne,1995-03-24,164.0,6.1
Little Odessa,1994-10-27,31.0,6.4
Mi Vida Loca,1994-06-08,9.0,5.7
Love Affair,1994-10-21,11.0,4.3
Losing Isaiah,1995-03-17,28.0,6.4
The Madness of King George,1994-12-28,67.0,6.7
Mary Shelley's Frankenstein,1994-11-04,272.0,6.1
Man of the House,1995-03-03,40.0,5.1
Mixed Nuts,1994-12-21,37.0,5.2
Milk Money,1994-08-31,49.0,5.6
Miracle on 34th Street,1994-11-18,199.0,6.4
Miami Rhapsody,1995-01-27,7.0,5.6
My Family,1995-05-03,11.0,7.0
Murder in the First,1995-01-20,140.0,6.9
Nobody's Fool,1994-12-23,56.0,7.0
Nell,1994-12-23,128.0,6.1
New Jersey Drive,1995-04-19,7.0,6.9
New York Cop,1993-08-14,0.0,0.0
Beyond Bedlam,1994-04-22,4.0,4.0
Nemesis 2 - Nebula,1995-09-26,10.0,4.6
Nina Takes a Lover,1995-03-03,4.0,7.4
Natural Born Killers,1994-08-25,927.0,6.9
Only You,1994-09-17,92.0,6.4
Once Were Warriors,1994-09-02,106.0,7.6
Poison Ivy II: Lily,1996-01-16,32.0,4.6
Outbreak,1995-03-10,522.0,6.4
Leon: The Professional,1994-09-14,4293.0,8.2
The Perez Family,1995-05-12,9.0,6.6
A Pyromaniac's Love Story,1995-04-28,2.0,7.0
Pulp Fiction,1994-09-10,8670.0,8.3
Panther,1995-11-10,6.0,6.4
Pushing Hands,1992-02-01,9.0,6.1
Priest,1994-01-01,32.0,6.4
Quiz Show,1994-09-16,262.0,7.1
Picture Bride,1995-05-05,5.0,7.4
Queen Margot,1994-05-13,67.0,7.0
The Quick and the Dead,1995-02-09,431.0,6.2
Roommates,1995-03-01,7.0,6.4
Prêt-à-Porter,1994-12-23,33.0,5.3
Three Colors: Red,1994-05-27,246.0,7.8
Three Colors: Blue,1993-01-10,311.0,7.7
Three Colors: White,1994-01-26,218.0,7.3
"Red Firecracker, Green Firecracker",1994-10-14,2.0,7.0
Rent-a-Kid,1995-01-01,15.0,5.1
Relative Fear,1995-10-03,3.0,4.7
Stuart Saves His Family,1995-04-12,6.0,5.0
The Swan Princess,1994-11-18,251.0,6.5
The Secret of Roan Inish,1994-01-01,15.0,6.1
The Specialist,1994-10-07,317.0,5.5
Stargate,1994-10-27,942.0,6.8
The Santa Clause,1994-11-10,501.0,6.3
The Shawshank Redemption,1994-09-23,8358.0,8.5
Shallow Grave,1994-12-22,247.0,7.0
Suture,1993-09-14,7.0,6.0
Strawberry and Chocolate,1993-01-01,16.0,7.1
Swimming with Sharks,1994-09-10,104.0,6.7
The Sum of Us,1994-07-12,21.0,6.0
Senior Trip,1995-09-08,23.0,5.7
To Live,1994-06-30,62.0,7.7
Tank Girl,1995-03-31,140.0,5.5
Tales from the Crypt: Demon Knight,1995-01-13,96.0,6.7
Star Trek: Generations,1994-11-17,461.0,6.4
Tales from the Hood,1995-05-24,33.0,5.4
Tom & Viv,1994-04-15,8.0,5.8
Village of the Damned,1995-04-28,165.0,5.6
Tommy Boy,1995-03-31,321.0,6.8
Vanya on 42nd Street,1994-09-13,15.0,6.1
The Underneath,1995-04-28,15.0,5.6
The Walking Dead,1995-02-24,4.0,6.6
What's Eating Gilbert Grape,1993-12-17,943.0,7.5
Virtuosity,1995-08-04,163.0,5.4
While You Were Sleeping,1995-04-21,340.0,6.5
The War,1994-11-04,39.0,6.3
Double Happiness,1994-09-07,2.0,5.5
Muriel's Wedding,1994-09-29,104.0,6.9
The Baby-Sitters Club,1995-08-18,23.0,5.3
Ace Ventura: Pet Detective,1994-02-04,1684.0,6.4
"The Adventures of Priscilla, Queen of the Desert",1994-05-31,174.0,7.2
Backbeat,1994-04-01,37.0,6.2
Bitter Moon,1992-09-02,115.0,7.0
Bullets Over Broadway,1994-10-14,130.0,7.0
Clear and Present Danger,1994-08-03,390.0,6.4
The Client,1994-07-20,287.0,6.4
"Corrina, Corrina",1994-08-12,83.0,6.4
Crooklyn,1994-05-13,31.0,6.7
The Crow,1994-05-11,980.0,7.3
Cobb,1994-12-02,29.0,6.1
The Flintstones,1994-05-26,559.0,5.0
Forrest Gump,1994-07-06,8147.0,8.2
Four Weddings and a Funeral,1994-03-09,654.0,6.6
Higher Learning,1995-01-11,49.0,6.4
I Like It Like That,1994-10-14,4.0,6.3
I Love Trouble,1994-06-29,41.0,5.3
It Could Happen to You,1994-07-29,154.0,6.1
The Jungle Book,1994-12-23,107.0,5.9
"The Wonderful, Horrible Life of Leni Riefenstahl",1993-09-11,5.0,7.3
The Lion King,1994-06-23,5520.0,8.0
Little Buddha,1993-12-01,76.0,6.0
New Nightmare,1994-10-13,297.0,6.4
The Mask,1994-07-29,2550.0,6.6
Maverick,1994-05-20,490.0,6.6
Mrs. Parker and the Vicious Circle,1994-09-07,20.0,6.3
The Naked Gun 33⅓: The Final Insult,1994-03-18,535.0,6.4
The Paper,1994-03-18,40.0,6.1
Reality Bites,1994-02-18,180.0,6.5
Red Rock West,1993-07-08,71.0,6.4
Ri¢hie Ri¢h,1994-12-19,426.0,5.4
Safe Passage,1994-12-01,7.0,4.9
The River Wild,1994-09-30,214.0,6.1
Speed,1994-06-09,1814.0,6.8
Speechless,1994-12-16,24.0,5.5
Timecop,1994-09-15,288.0,5.5
True Lies,1994-07-14,1138.0,6.8
When a Man Loves a Woman,1994-04-29,71.0,6.0
Wolf,1994-06-17,221.0,6.0
Wyatt Earp,1994-06-24,203.0,6.5
Bad Company,1995-01-20,12.0,4.9
A Man of No Importance,1994-12-22,2.0,6.5
S.F.W.,1994-09-15,22.0,6.1
A Low Down Dirty Shame,1994-11-23,31.0,6.0
"Boys Life: Three Stories of Love, Lust, and Liberation",1994-09-30,1.0,2.0
Colonel Chabert,1994-01-01,9.0,5.9
"Faster, Pussycat! Kill! Kill!",1965-08-06,59.0,6.5
Jason's Lyric,1994-09-28,9.0,5.9
The Secret Adventures of Tom Thumb,1993-12-10,8.0,7.1
Street Fighter,1994-12-22,330.0,4.1
Coldblooded,1995-09-15,13.0,6.7
Desert Winds,1997-12-31,0.0,0.0
Fall Time,1995-05-13,6.0,6.3
The Fear,1995-01-20,7.0,3.4
Frank and Ollie,1995-10-20,4.0,7.5
Girl in the Cadillac,1995-10-24,1.0,10.0
Homage,1995-05-03,0.0,0.0
Mirage,1995-11-21,1.0,4.0
Open Season,1996-05-03,0.0,0.0
Dos Crímenes,1995-05-26,1.0,5.0
Brother Minister: The Assassination of Malcolm X,1995-03-01,1.0,4.0
Highlander: The Final Dimension,1994-11-29,110.0,4.5
Federal Hill,1995-02-24,2.0,5.0
In the Mouth of Madness,1994-12-12,307.0,7.1
8 Seconds,1994-02-25,22.0,7.2
Above the Rim,1994-03-23,40.0,6.7
Addams Family Values,1993-11-19,537.0,6.5
Martin Lawrence: You So Crazy,1994-04-27,4.0,4.5
The Age of Innocence,1993-09-17,172.0,7.0
Airheads,1994-08-05,222.0,5.8
The Air Up There,1994-01-07,42.0,5.1
Another Stakeout,1993-07-22,58.0,4.9
Bad Girls,1994-04-22,61.0,4.6
Barcelona,1994-07-29,20.0,6.6
Being Human,1994-05-06,15.0,5.0
The Beverly Hillbillies,1993-10-15,86.0,5.0
Beverly Hills Cop III,1994-05-24,445.0,5.5
Black Beauty,1994-07-29,68.0,6.6
Blink,1994-01-26,45.0,6.3
Blown Away,1994-07-01,126.0,6.0
Blue Chips,1994-02-18,41.0,5.7
Blue Sky,1994-09-16,28.0,6.1
Body Snatchers,1993-06-09,102.0,5.8
Boxing Helena,1993-06-18,59.0,4.5
A Bronx Tale,1993-09-14,447.0,7.4
Cabin Boy,1994-01-07,28.0,4.9
Calendar Girl,1993-09-03,10.0,3.7
Carlito's Way,1993-11-10,805.0,7.7
City Slickers II: The Legend of Curly's Gold,1994-06-10,103.0,4.9
Clean Slate,1994-05-06,25.0,5.7
Cliffhanger,1993-05-28,600.0,6.1
Coneheads,1993-07-23,228.0,4.8
Color of Night,1994-08-19,117.0,5.4
Cops & Robbersons,1994-04-15,36.0,5.0
The Cowboy Way,1994-06-03,38.0,5.1
Dangerous Game,1993-11-19,9.0,5.4
Dave,1993-05-07,205.0,6.3
Dazed and Confused,1993-09-24,588.0,7.4
Demolition Man,1993-10-08,1018.0,6.4
The Endless Summer 2,1994-06-03,12.0,7.1
Even Cowgirls Get the Blues,1994-05-13,29.0,4.2
Fatal Instinct,1993-10-29,37.0,5.4
Farewell My Concubine,1993-09-16,98.0,7.8
The Favor,1994-04-29,6.0,3.3
Fearless,1993-10-15,80.0,6.8
Fear of a Black Hat,1994-10-28,11.0,5.8
With Honors,1994-04-29,54.0,6.1
Flesh and Bone,1993-11-05,22.0,6.2
Widows' Peak,1994-05-13,3.0,4.3
For Love or Money,1993-10-01,77.0,5.7
The Firm,1993-06-30,513.0,6.6
Free Willy,1993-07-16,429.0,6.0
Fresh,1994-08-24,56.0,7.6
The Fugitive,1993-08-06,1240.0,7.2
Geronimo: An American Legend,1993-12-10,44.0,5.9
The Getaway,1994-02-11,81.0,5.4
Getting Even with Dad,1994-06-17,43.0,4.5
Go Fish,1994-06-10,5.0,3.9
A Good Man in Africa,1994-07-14,11.0,5.2
Guilty as Sin,1993-06-04,21.0,5.6
Hard Target,1993-08-20,237.0,6.1
Heaven & Earth,1993-12-24,51.0,6.4
Hot Shots! Part Deux,1993-05-21,463.0,6.2
Live Nude Girls,1995-12-08,12.0,4.7
The Englishman Who Went Up a Hill But Came Down a Mountain,1995-05-12,83.0,6.1
The House of the Spirits,1993-10-19,135.0,6.7
House Party 3,1994-01-01,11.0,4.6
The Hudsucker Proxy,1994-03-11,280.0,7.1
I'll Do Anything,1994-02-04,18.0,5.7
In the Army Now,1994-08-12,54.0,4.7
In the Line of Fire,1993-07-08,392.0,6.8
In the Name of the Father,1993-12-12,363.0,7.6
The Inkwell,1994-04-22,5.0,3.9
What's Love Got to Do with It,1993-06-09,75.0,6.9
Jimmy Hollywood,1994-03-30,17.0,4.6
Judgment Night,1993-10-15,79.0,6.4
Jurassic Park,1993-06-11,4956.0,7.6
Kalifornia,1993-09-01,209.0,6.5
Killing Zoe,1993-10-01,111.0,6.1
King of the Hill,1993-08-20,33.0,6.4
Lassie,1994-07-22,54.0,6.1
Last Action Hero,1993-06-18,725.0,6.1
Life With Mikey,1993-06-04,24.0,5.1
Lightning Jack,1994-03-11,40.0,5.7
M. Butterfly,1993-09-09,35.0,6.6
Made in America,1993-05-27,86.0,5.3
Malice,1993-09-29,105.0,5.9
The Man without a Face,1993-08-25,125.0,6.2
Manhattan Murder Mystery,1993-08-18,169.0,7.1
Menace II Society,1993-05-26,179.0,7.2
Executive Decision,1996-03-15,261.0,5.8
In the Realm of the Senses,1976-05-15,112.0,6.5
What Happened Was...,1994-09-09,7.0,7.0
Much Ado About Nothing,1993-05-07,194.0,7.2
Mr. Jones,1993-10-08,35.0,5.9
Mr. Wonderful,1993-10-15,11.0,5.5
Mrs. Doubtfire,1993-11-24,1638.0,7.0
Naked,1993-09-14,105.0,7.5
The Next Karate Kid,1994-07-18,202.0,4.8
The New Age,1994-09-16,5.0,4.8
No Escape,1994-04-29,86.0,6.1
North,1994-07-22,67.0,4.8
Orlando,1992-09-01,53.0,6.7
A Perfect World,1993-11-24,376.0,7.2
Philadelphia,1993-12-22,1019.0,7.6
The Piano,1993-05-19,290.0,7.1
Poetic Justice,1993-07-23,47.0,6.9
The Program,1993-09-24,28.0,6.0
The Puppet Masters,1994-10-21,41.0,5.6
Radioland Murders,1994-10-21,12.0,5.8
The Ref,1994-03-09,99.0,6.7
The Remains of the Day,1993-11-05,213.0,7.5
Renaissance Man,1994-06-03,83.0,5.9
Rising Sun,1993-07-30,188.0,5.8
The Road to Wellville,1994-10-28,43.0,5.5
RoboCop 3,1993-04-17,309.0,4.2
Robin Hood: Men in Tights,1993-07-28,575.0,6.4
Romeo Is Bleeding,1993-09-13,36.0,5.7
Romper Stomper,1992-03-05,126.0,6.6
Ruby in Paradise,1993-10-08,10.0,5.6
Rudy,1993-09-17,187.0,7.2
The Saint of Fort Washington,1993-11-03,5.0,4.0
Savage Nights,1992-08-19,11.0,6.2
Schindler's List,1993-11-29,4436.0,8.3
The Scout,1994-09-30,37.0,5.3
Searching for Bobby Fischer,1993-08-13,100.0,7.3
Second Best,1994-09-30,8.0,5.9
The Secret Garden,1993-08-13,232.0,7.1
Serial Mom,1994-04-13,137.0,6.4
The Shadow,1994-07-01,140.0,5.4
Shadowlands,1993-12-25,61.0,6.8
Short Cuts,1993-09-05,136.0,6.9
A Simple Twist of Fate,1994-09-02,26.0,5.7
Sirens,1993-10-01,31.0,5.2
Six Degrees of Separation,1993-12-08,75.0,6.5
Sleepless in Seattle,1993-06-24,630.0,6.5
Sliver,1993-05-21,144.0,4.9
Blade Runner,1982-06-25,3833.0,7.9
Son in Law,1993-07-02,81.0,5.6
So I Married an Axe Murderer,1993-07-30,131.0,6.1
Striking Distance,1993-09-17,223.0,5.4
Harem,1985-11-20,4.0,4.0
Super Mario Bros.,1993-05-28,236.0,4.0
Surviving the Game,1994-04-15,53.0,6.1
Terminal Velocity,1994-09-23,82.0,5.0
Thirty Two Short Films About Glenn Gould,1993-11-26,9.0,7.4
Threesome,1994-04-08,57.0,6.3
The Nightmare Before Christmas,1993-10-09,2135.0,7.6
The Three Musketeers,1993-11-11,219.0,6.2
Tombstone,1993-12-25,632.0,7.4
Trial by Jury,1994-09-09,5.0,5.5
True Romance,1993-09-09,762.0,7.5
The War Room,1993-12-05,19.0,7.3
The Pagemaster,1994-11-23,178.0,6.2
"Paris, France",1994-02-04,2.0,6.0
"The Beans of Egypt, Maine",1994-01-01,1.0,0.0
Killer,1994-09-14,2.0,3.0
Welcome to the Dollhouse,1995-05-24,103.0,6.9
Germinal,1993-09-29,43.0,6.3
Chasers,1994-04-22,22.0,4.7
Cronos,1993-09-12,153.0,6.4
Naked in New York,1993-11-10,3.0,4.0
Kika,1993-10-28,58.0,6.8
Bhaji on the Beach,1994-01-21,10.0,5.1
Little Big League,1994-06-29,20.0,6.0
The Slingshot,1993-09-24,10.0,6.2
Wide Eyed and Legless,1993-09-05,0.0,0.0
Foreign Student,1994-07-29,0.0,0.0
"Ciao, Professore!",1992-10-01,74.0,7.2
Spanking the Monkey,1994-01-15,29.0,5.3
The Little Rascals,1994-08-05,214.0,6.3
À la mode,1993-09-10,0.0,0.0
Andre,1994-08-17,31.0,5.0
The Escort,1993-01-01,5.0,5.0
Princess Caraboo,1994-09-16,5.0,4.4
The Celluloid Closet,1996-01-30,24.0,7.0
Café au Lait,1993-01-01,4.0,6.8
Dear Diary,1993-10-12,46.0,6.9
I Don't Want to Talk About It,1993-05-20,1.0,6.0
The Brady Bunch Movie,1995-02-16,87.0,5.9
Home Alone,1990-11-09,2487.0,7.1
Ghost,1990-07-12,1381.0,6.9
Aladdin,1992-11-25,3495.0,7.4
Terminator 2: Judgment Day,1991-07-01,4274.0,7.7
Dances with Wolves,1990-11-09,1084.0,7.6
Tough and Deadly,1995-02-14,4.0,6.3
Batman,1989-06-23,2145.0,7.0
The Silence of the Lambs,1991-02-01,4549.0,8.1
Snow White and the Seven Dwarfs,1937-12-20,1973.0,6.9
Beauty and the Beast,1991-11-13,3029.0,7.5
Pinocchio,1940-02-23,1412.0,6.9
Pretty Woman,1990-03-23,1807.0,7.0
Window to Paris,1993-12-01,6.0,6.0
The Wild Bunch,1969-06-17,266.0,7.7
Love and a .45,1994-11-23,15.0,5.5
